University/College Name;School Link;City;State;Name of the state;Control;Region;Accessible to Metropolitan Area;Setting;Insituation Size;Coeducational or Single-sex?;HBCU?;Primary Focus;Undergraduate?;Where do most students live?;Religious;Budget Category;Tuition and fees without aid;Room and board;Total cost of attendance without aid;Cost of Attendance from year;Types of Aid for international students;Number of international students awarded financial aid/scholarships;Percentage of International students who receive aid;Average amount awarded;Average cost in 2023-2024 after aid (merit or need);Total awarded in millions;Meets full demonstrated need?;Amount of largest Merit Scholarship;Scholarship's Name and Information;Scholarship's Link;Scholarship's Information;2024-2025 adjusted tuition after Merit Scholarship;2024-2025 cost of attendance after largest Merit Scholarship;How to apply;Acceptance rate;International admission rate;Yield (approximate);International yield;Class of 2027 - international applications;Class of 2027 - international students admitted;Class of 2027 international accepted offer/enrolled;Regular Decision acceptance rate;Regular Decision acceptance rate from class year;Early plan offered?;Early Decision 2 offered?;Early Decision acceptance rate;Early Decision acceptance rate from year;Early Decision advantage over Regular Decision;Percent of class of 2027 filled ED;Early Action acceptance rate;Early Action acceptance rate from class year;Early Action advantage over Regular Decision;Testing Requirements;Percent of accepted students who submitted SAT scores;Percent of accepted students who submitted ACT scores;SAT comp 50%ile;SAT Math 25%ile;SAT Math 75%ile;SAT EBRW 25%ile;SAT EBRW 75%ile;ACT comp 25%ile;ACT comp 50%ile;ACT compo 75%ile;ACT math 25%ile;ACT math 75%ile;ACT English 25%ile;ACT English 75%ile;ACT Reading 25%ile;ACT Reading 75%ile;ACT Science 25%ile;ACT Science 75%ile;Testing - main data source;International 4-year graduation rate (IPEDS);International 5-year graduation rate (IPEDS);International 6-year graduation rate (IPEDS);Percent of international graduates who take longer than 4 years;International transfer-out rate;Early Decision application deadline;Early Action application deadline;Priority Deadline;Rolling admission?;Regular Decision deadline;Accepts applications after deadline on space available basis?;Early Action/Early Decision document deadline;Early Action/Early Decision financial aid deadline;Latest testing for Early Action/Early Decision;Early Action/Early Decision notification date;Early Decision 2 Application deadline;Early Decision 2 Financial aid deadline;Early Decision 2 Notification Date;Regular Decision document deadline;Latest testing accepted Regular Decision;Regular Decision/only financial aid deadline;Regular Decision notification date;Latest CDS available;US News National Universities 2025;Times Higher Education 2024 World Universities;THE - rank within USA;QS World Universities;QS World Universities (within United States);WSJ Best Colleges Rank;WSJ Best Colleges Score;US News National Liberal Arts Colleges;QS World International student rank;QS World International Student score;US News Undergrad CS;US News CS: AI;QS Computer Science;CSRankings.org Overall ranking;US News Undergraduate Business;QS Business;US News Undergrad Economics;US News Top 50 engineering? either doctorate or non-doctorate;US News Undergrad Engineering programs: Doctorate;US News Undergrad Engineering programs: Non- Doctorate;US News Undergrad Mechanical Engineering;US News Undergrad Electrical Engineering;US News Undergraduate Computer Engineering;US News Undergrad Biomedical Engineering;US News Undergrad Chemical Engineering;Abortion law status (NYT, as of October 28, 2024);Currently legal until;Gun deaths (non- suicide) per 100,000, 2018-2022, by county (Dept. of Health);On-campus violent crimes (non-sexual) reported 2018-2022, average per year (OPE);On-campus rapes/sexual assaults reported 2018-2022 - average per year (OPE);Source_List1;Source_List2;Source_List3;Source_List4;Source_List5;Source_List6
Bethel College;https://www.bethelks.edu;North Newton;KS;Kansas;Private;Midwest (Great Plains);;Town: Distant;<1K;Coeducational;No;Professional;Exclusively;On-campus;2-Slightly;;$35.014;$10.755;$49.769;24-25;Merit;21;100%;$21.427;;$0.4m;No;$11.000;Thresher Scholarship;https://www.bethelks.edu/affordability/build-your-award;This is an academic scholarship based on high school GPA. Students are automatically considered when they are admitted. No separate application is required.;$24.014;$38.769;Automatic consideration;96%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Bethune-Cookman University;https://www.cookman.edu;Daytona Beach;FL;Florida;Private;Southeast;;City: Large;1K - 9K;Coeducational;Yes;Balanced;Very High;On-campus;3-Somewhat;$15.000;$14.794;$10.396;$29.190;24-25;Both;43;84%;$16.796;$12.394;;No;Full ride+stipend;Presidential Scholarship;https://www.cookman.edu/admissions/brochure-scholarships-2020-2021-with-totals.pdf;Based on the provided PDF, this is the highest-tier academic scholarship. Awarded based on specific high school GPA and SAT/ACT scores. Automatic consideration with admission application.;$0;$3.500;Automatic consideration;99%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Biola University;https://www.biola.edu;La Mirada;CA;California;Private;West Coast;Los Angeles, CA;Suburb: Large;5K - 10K;Coeducational;No;Balanced;Majority;Off-campus;6-Primarily;$40.000;$48.984;$13.130;$66.114;24-25;Merit;197;86%;$22.692;$39.246;$4.5m;No;$22.000;President Scholarship;https://www.biola.edu/financial-aid/scholarships-and-aid/undergrad/biola-scholarships;The highest academic scholarship for incoming freshmen, based on GPA and test scores (if submitted). Students are automatically considered upon admission. Renewable based on maintaining a specific GPA.;$26.984;$44.114;Automatic consideration;61%;21,9%;32%;32%;672;147;47;;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Boise State University;https://www.boisestate.edu;Boise;ID;Idaho;Public;West (Rocky Mountains);;City: Midsize;20K+;Coeducational;No;Professional;High;On-campus;0-None;$45.000;$27.788;$14.884;$46.672;24-25;Merit;85;62%;$6.631;$40.955;$0.6m;No;$18.000;Global Excellence Award;https://www.boisestate.edu/global-international/cost-and-scholarships/undergraduate-scholarships/;A competitive, merit-based scholarship for new international undergraduate students. Requires a separate scholarship application, essays, and letters of recommendation.;$9.788;$28.672;Requires application;83,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Boston College;https://www.bc.edu;Chestnut Hill;MA;Massachusetts;Private;Northeast (New England);Boston, MA;City: Small;10K - 20K;Coeducational;No;Arts and Sciences;Majority;On-campus;3-Somewhat;$95.000;$70.702;$18.916;$93.618;;Merit;No data;No data;No data;No data;;No;Full Tuition;Gabelli Presidential Scholars Program;https://www.bc.edu/bc-web/academics/sites/gabelli-presidential-scholars-program.html;A highly competitive, 15-person undergraduate Merit Scholarship program. Requires a separate application. Focuses on academic excellence, leadership, and community service.;$0;$22.916;Automatic consideration;14,7%;16%;41%;-;;-;;12,0%;;Early Decision only;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;;;;international_playlist
Boston University;https://www.bu.edu;Boston;MA;Massachusetts;Private;Northeast (New England);Boston, MA;City: Large;20K+;Coeducational;No;Balanced;Majority;On-campus;1-Historically;$45.000;$68.102;$19.020;$91.122;24-25;Merit;225;06%;$45.811;$41.467;$10.3m;No;Full Tuition;Trustee Scholarship;https://www.bu.edu/admissions/tuition-aid/scholarships-financial-aid/first-year-merit/trustee/;BU's most prestigious Merit Scholarship. Requires a separate application with an additional essay. Awarded to students with exceptional academic credentials, leadership, and unique talents.;$0;$23.020;Requires application;10,9%;13%;36%;;;;122;9,5%;;Early Decision only;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;global_top_200;;international_playlist
Bowdoin College;https://www.bowdoin.edu;Brunswick;ME;Maine;Private;Northeast (New England);;Town: Fringe;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$10.000;$67.832;$18.488;$90.320;24-25;Need;83;66%;$77.156;$9.444;$6.4m;Yes (Need-blind);;;;;;;;8,0%;1,9%;57%;67%;3921;73;49;6,4%;;Early Decision only;Yes;17,6%;2027;2.7x;55%;;;;Optional;37%;22%;1510;750;790;730;760;33;34;35;30;34;34;36;34;36;32;35;CDS24;92%;96%;100%;8%;0%;11/15/2024;;;;1/6/2025;;11/15/2024;11/15/2024;Not specified;Mid-December;1/6/2025;1/6/2025;early February;1/6/2025;Not specified;2/1/2025;;23-24;;;;;;89;75,2;5;;;214;;;;;;65;;;;;214;;;;Legal;Viability;0,8;0;8,2;early_admission;generous_aid;affordable;;;international_playlist
Bowling Green State University;https://www.bgsu.edu;Bowling Green;OH;Ohio;Public;Midwest (Great Lakes);;Town: Fringe;10K - 20K;Coeducational;No;Professional;High;On-campus;0-None;$20.000;$21.900;$12.166;$38.066;24-25;Merit;148;98%;$17.248;$19.914;$2.6m;No;Full Tuition;Sidney A. Ribeau President's Leadership Academy;https://www.bgsu.edu/president-leadership-academy.html;A competitive scholarship for students with a passion for leadership and learning. Requires a separate application and an on-campus interview for finalists. Focuses on leadership experience and potential.;$0;$16.166;Requires application;81%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Bradley University;https://www.bradley.edu;Peoria;IL;Illinois;Private;Midwest (Great Lakes);;City: Midsize;5K - 10K;Coeducational;No;Professional;High;On-campus;1-Historically;$25.000;$42.160;$13.500;$59.660;24-25;Merit;84;99%;$33.693;$22.837;$2.8m;No;$27.000;Presidential Scholarship;https://www.bradley.edu/offices/student/sfs/financial-assistance/assistance/;The most prestigious merit-based scholarship. Awarded to the highest-achieving new students. Automatic consideration based on the application for admission.;$15.160;$32.660;Automatic consideration;76,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Brandeis University;https://www.brandeis.edu;Waltham;MA;Massachusetts;Private;Northeast (New England);Boston, MA;City: Small;5K - 10K;Coeducational;No;Arts and Sciences;Majority;On-campus;2-Slightly;$45.000;$68.080;$18.584;$90.664;24-25;Both;153;20%;$45.081;$42.961;$6.9m;Yes (Need-aware);Demonstrated Need;Wein International Scholarship;https://www.brandeis.edu/isso/programs/wien/index.html;For international students with strong academic records and a history of leadership. Requires a separate application, including a nomination form and essays. Focuses on students who will contribute to the campus community.;$0;$0;Requires application;35,3%;15,4%;22%;30%;3686;567;169;34,3%;;Early Decision only;Yes;48,7%;2027;1.4x;47%;;;;Optional;31%;12%;1450;690;770;680;750;31;33;34;28;34;32;35;33;36;31;35;CDS24;78%;88%;91%;14%;2%;11/1/2024;;;;1/2/2025;;;11/1/2024;Not specified;12/15/2024;1/2/2025;CSS profile dea;2/1/2025;;;1/15/2025;4/1/2025;23-24;63;251;66;661;103;223;64,5;;186;75,1;111;;661;108;94;;65;;;;;111;;;;Legal;Viability;0,5;0;3,2;early_admission;;;;;international_playlist
Bridgewater College;https://www.bridgewater.edu;Bridgewater;VA;Virginia;Private;Southeast;;Suburb: Small;1K - 9K;Coeducational;No;Balanced;Very High;Off-campus;2-Slightly;$25.000;$16.090;$14.850;$34.940;24-25;Both;46;65%;$37.434;$22.286;$1.7m;;;;;;;;Unclear;91%;;12%;-;;-;;93%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Brigham Young University-Provo;https://www.byu.edu;Provo;UT;Utah;Private;West (Rocky Mountains);;City: Midsize;20K+;Coeducational;No;Balanced;Very High;On-campus;6-Primarily;$15.000;$6.688;$10.396;$21.084;24-25;Merit;630;70%;$6.542;$13.674;$4.1m;No;Full Tuition;Russell M. Nelson Scholarship;https://enrollment.byu.edu/financial-aid/new-freshman-scholarships;The most prestigious scholarship for entering freshmen. All students who complete the general scholarship application are considered. Selection is based on academic excellence, leadership, and service.;$0;$14.396;Automatic consideration;69,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Brown University;;Providence;RI;Rhode Island;Private;Northeast (New England);;City: Midsize;10K - 20K;Coeducational;No;Arts and Sciences;Majority;On-campus;1-Historically;$15.000;$71.312;$17.444;$92.756;;Need;265;30%;$78.765;$10.063;$20.9m;Yes (Need-blind);;;;;;;;5,2%;3,8%;63%;65%;10646;401;261;3,8%;;Early Decision only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
Brown University;;Providence;RI;Rhode Island;Private;Northeast (New England);;City: Midsize;10K - 20K;Coeducational;No;Arts and Sciences;Majority;On-campus;1-Historically;$15.000;$71.312;$17.444;$92.756;24-25;Need;265;30%;$78.765;$10.063;$20.9m;Yes (Need-blind);;;;;;;;5,2%;3,8%;63%;65%;10646;401;261;;;Early Decision only;;14,4%;2028;3.8x;52%;;;;Required;54%;22%;1540;760;800;740;770;34;35;35;32;35;35;36;34;36;33;36;CDS24;85%;90%;96%;11%;;11/1/2024;11/1/2024;;;1/3/2025;;;11/1/2024;October;Mid-December;;;;;December;2/1/2025;;23-24;13;64;26;73;23;67;77,2;;289;50,9;25;;73;41;;401;11;Yes;43;;;25;;;;Legal;Viability;2,4;0;23,4;;generous_aid;affordable;;;international_playlist
Brown University;;Providence;RI;Rhode Island;Private;Northeast (New England);;City: Midsize;10K - 20K;Coeducational;No;Arts and Sciences;Majority;On-campus;1-Historically;$15.000;$71.312;$17.444;$92.756;;Need;265;30%;$78.765;$10.063;$20.9m;Yes (Need-blind);;;;;;;;5,2%;3,8%;63%;65%;10646;401;261;166;3,8%;Early Decision only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;global_top_201;;international_playlist
Brown University;;Providence;RI;Rhode Island;Private;Northeast (New England);;City: Midsize;10K - 20K;Coeducational;No;Arts and Sciences;Majority;On-campus;1-Historically;$15.000;$71.312;$17.444;$92.756;24-25;Need;265;30%;$78.765;$10.063;$20.9m;Yes (Need-blind);;;;;;;;5,2%;3,8%;63%;65%;10646;401;261;3,8%;2028;Early Decision only;;14,4%;2028;3.8x;52%;;;;Required;54%;22%;1540;760;800;740;770;34;35;35;32;35;35;36;34;36;33;36;CDS24;85%;90%;96%;11%;;;;;;;;;;;;;;;;;;;23-24;13;64;26;73;23;67;77,2;;289;50,9;25;;73;41;;401;11;Yes;43;;;25;;;;Legal;Viability;2,4;0;23,4;;generous_aid;affordable;;ivy_league;international_playlist
Brown University;https://www.brown.edu;Providence;RI;Rhode Island;Private;Northeast (New England);;City: Midsize;10K - 20K;Coeducational;No;Arts and Sciences;Majority;On-campus;1-Historically;$15.000;$71.312;$17.444;$92.756;24-25;Need;265;30%;$78.765;$10.063;$20.9m;Yes (Need-blind);;;;;;;;5,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Bryant University;;Smithfield;RI;Rhode Island;Private;Northeast (New England);;Suburb: Large;1K - 9K;Coeducational;No;Professional;Very High;On-campus;0-None;;$52.677;$17.860;$74.537;;Merit;148;86%;$30.937;;$4.6m;No;$40.000;Academic Scholarship;https://www.bryant.edu/admission-bryant/undergraduate-admission/undergraduate-financial-aid-and-tuition/scholarships-grants;Merit-based scholarships, including the top-tier President Scholarship, are awarded based on the admission application. No separate application is needed. Awards are based on academic achievement.;$12.677;$34.537;Automatic consideration;66%;53%;15%;-;;-;;41%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Bryant University;https://www.bryant.edu;Smithfield;RI;Rhode Island;Private;Northeast (New England);;Suburb: Large;1K - 9K;Coeducational;No;Professional;Very High;On-campus;0-None;;$52.677;$17.860;$74.537;24-25;Merit;148;86%;$30.937;;$4.6m;No;$40.000;Academic Scholarship;https://www.bryant.edu/admission-bryant/undergraduate-admission/undergraduate-financial-aid-and-tuition/scholarships-grants;Merit-based scholarships, including the top-tier President Scholarship, are awarded based on the admission application. No separate application is needed. Awards are based on academic achievement.;$12.677;$34.537;Automatic consideration;66%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Bryn Mawr College;;Bryn Mawr;PA;Pennsylvania;Private;Northeast (Mid-Atlantic);Philadelphia, PA;Suburb: Large;1K - 9K;Women's;No;Arts and Sciences;High;On-campus;1-Historically;$20.000;$65.920;$19.400;$89.320;;Need;75;42%;$69.529;$15.721;$5.2m;Yes (Need-aware);;;;;;;Unclear;31%;;35%;-;;-;-;28,7%;;Early Decision only;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
Bryn Mawr College;https://www.brynmawr.edu;Bryn Mawr;PA;Pennsylvania;Private;Northeast (Mid-Atlantic);Philadelphia, PA;Suburb: Large;1K - 9K;Women's;No;Arts and Sciences;High;On-campus;1-Historically;$20.000;$65.920;$19.400;$89.320;24-25;Need;75;42%;$69.529;$15.721;$5.2m;Yes (Need-aware);;;;;;;Unclear;31%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Bucknell University;;Lewisburg;PA;Pennsylvania;Private;Northeast (Mid-Atlantic);;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Very High;On-campus;1-Historically;$25.000;$67.812;$16.924;$88.736;;Both;114;67%;$63.010;$21.880;$7.2m;No;$30.000;Presidential Fellowships;https://www.bucknell.edu/admissions-aid/tuition-fees-financial-aid/scholarship-programs/presidential-fellowships;"A research-focused program for top students. Students receive a stipend for a summer research project with a faculty mentor. Automatic consideration for top applicants; no separate application required.";$37.812;$58.736;Requires application;32,0%;4,7%;29%;40%;2573;121;48;29,2%;;Early Decision only;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
Bucknell University;https://www.bucknell.edu;Lewisburg;PA;Pennsylvania;Private;Northeast (Mid-Atlantic);;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Very High;On-campus;1-Historically;$25.000;$67.812;$16.924;$88.736;24-25;Both;114;68%;$63.010;$21.880;$7.2m;No;$30.000;Presidential Fellowships;https://www.bucknell.edu/admissions-aid/tuition-fees-financial-aid/scholarship-programs/presidential-fellowships;"A research-focused program for top students. Students receive a stipend for a summer research project with a faculty mentor. Automatic consideration for top applicants; no separate application required.";$37.812;$58.736;Requires application;32,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Butler University;;Indianapolis;IN;Indiana;Private;Midwest (Great Lakes);;City: Large;5K - 10K;Coeducational;No;Professional;High;On-campus;2-Slightly;;$47.560;$17.250;$68.810;;Merit;;;;;;No;$25.000;Academic Scholarships;https://www.butler.edu/admission-aid/financial-aid-scholarships/international/;International students are automatically considered for merit-based scholarships upon admission. Awards are based on the strength of the application, including academic performance. No separate application required.;$22.560;$43.810;Automatic consideration;85,9%;39,0%;14%;4%;369;144;6;63,7%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Butler University;https://www.butler.edu;Indianapolis;IN;Indiana;Private;Midwest (Great Lakes);;City: Large;5K - 10K;Coeducational;No;Professional;High;On-campus;2-Slightly;;$47.560;$17.250;$68.810;24-25;Merit;;;;;;No;$25.000;Academic Scholarships;https://www.butler.edu/admission-aid/financial-aid-scholarships/international/;International students are automatically considered for merit-based scholarships upon admission. Awards are based on the strength of the application, including academic performance. No separate application required.;$22.560;$43.810;Automatic consideration;85,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Cal Poly-Pomona (California State Polytech. U.);https://www.cpp.edu;Pomona;CA;California;Public;West Coast;Los Angeles, CA;Suburb: Large;20K+;Coeducational;No;Professional;Very High;On-campus;0-None;;$19.318;$16.682;$40.000;24-25;None;;;;;;No;;;;;;;;73,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Cal Poly-San Luis Obispo (Cal. Polytech. State;https://www.calpoly.edu;San Luis Obispo;CA;California;Public;West Coast;;Suburb: Small;20K+;Coeducational;No;Professional;Very High;Off-campus;0-None;$45.000;$20.112;$18.225;$42.337;24-25;Merit;44;18%;$9.743;$42.472;$0.4m;No;N/A (enrolled);;;;;;Requires application;29,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Caldwell University;;Caldwell;NJ;New Jersey;Private;Northeast (Mid-Atlantic);New York City;Suburb: Large;1K - 9K;Coeducational;No;Balanced;High;On-campus;3-Somewhat;$35.000;$40.848;$14.188;$59.036;;Merit;245;100%;$26.649;$30.577;$6.5m;No;;;;;;;Unclear;66%;53%;7%;-;;-;;61%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
